#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
355;B0906-17;0.401626;6.69e-16;*;*;*;
356;B0906-49;0.106755;1.52e-14;*;*;*;
357;B0909-71;1.362890;3.33e-16;*;*;*;
358;B0904+77;1.579050;*;*;*;*;
359;J0912-3851;1.526085;3.59e-15;*;*;RRAT;
360;J0919-42;0.812600;*;*;*;*;
361;J0919-6040;1.216976;1.00e-17;*;*;*;
362;B0917+63;1.567994;3.61e-15;*;*;*;
363;B0919+06;0.430627;1.37e-14;*;XRS:[pb15];*;
364;J0922-4949;0.950289;9.76e-14;*;*;*;
365;J0922-52;0.009680;*;*;*;*;
366;J0923-31;*;*;*;*;RRAT;
367;B0922-52;0.746295;3.55e-14;*;*;*;
368;B0923-58;0.739501;4.88e-15;*;*;*;
369;J0927+2345;0.761889;3.05e-16;*;*;*;
370;J0928+06;2.060400;*;*;*;*;
371;J0928+30;2.091900;*;*;*;*;
372;J0930-2301;1.807069;3.36e-15;*;*;*;
373;J0931-1902;0.004638;3.63e-21;*;*;*;
374;J0932-3217;1.931627;2.50e-16;*;*;*;
375;J0932-5327;4.392159;8.37e-15;*;*;*;
376;J0934-4154;0.570409;2.69e-16;*;*;*;
377;B0932-52;1.444773;4.65e-15;*;*;*;
378;J0940-5428;0.087545;3.29e-14;*;*;*;
379;J0941-39;0.586778;*;*;*;RRAT;
380;J0941-5244;0.658558;1.14e-15;*;*;*;
381;B0940-55;0.664367;2.29e-14;*;*;*;
382;B0941-56;0.808127;3.96e-14;*;*;*;
383;B0940+16;1.087418;9.11e-17;*;*;*;
384;J0943+2253;0.532975;8.98e-17;*;*;*;
385;B0942-13;0.570264;4.53e-17;*;*;*;
386;J0944+4106;2.229431;4.42e-15;*;*;*;
387;J0945-4833;0.331586;4.83e-15;*;*;*;
388;B0943+10;1.097706;3.49e-15;*;XRS:[zsp05];*;
389;J0947+2740;0.851014;4.30e-16;*;*;*;
390;J0949-6902;0.640016;6.37e-16;*;*;*;
391;J0951-71;0.212378;*;*;*;*;
392;J0952-0607;0.001414;*;ELL1;OPT:[bph+17];*;
393;B0950-38;1.373815;5.80e-16;*;*;*;
394;B0950+08;0.253065;2.30e-16;*;*;HE[bwt+04];
395;J0954-5430;0.472834;4.39e-14;*;*;*;
396;B0953-52;0.862118;3.52e-15;*;*;*;
397;J0955-61;0.001999;*;BT;GRS:3FGL_J0955.6-6148[aaa+15];HE[ckr+15];
398;J0957-06;1.723700;*;*;*;RRAT;
399;J0957-5432;0.203557;1.95e-15;*;*;*;
400;B0957-47;0.670086;8.20e-17;*;*;*;
401;J1000+08;0.440372;*;*;*;*;
402;J1000-5149;0.255677;9.59e-16;*;*;*;
403;B0959-54;1.436583;5.14e-14;*;*;*;
404;J1001-5559;1.661177;8.60e-16;*;*;*;
405;J1001-5939;7.733640;5.99e-14;*;*;*;
406;J1002-5559;0.777501;1.57e-15;*;*;*;
407;J1002-5919;0.713489;1.04e-16;*;*;*;
408;B1001-47;0.307072;2.21e-14;*;*;*;
409;J1005+30;*;*;*;*;RRAT[ttm+18];
410;J1006-6311;0.835797;5.73e-16;*;*;*;
411;J1010+15;*;*;*;*;RRAT;
412;B1010-23;2.517945;8.81e-16;*;*;*;
413;J1012-4235;0.003101;*;BT;GRS:3FGL_J1012.0-4235[aaa+15];HE[ckr+15];
414;J1012+5307;0.005256;1.71e-20;ELL1;OPT:[cgk98];HE[wob+04];
415;J1012-5830;2.133591;3.77e-14;*;*;*;
416;B1011-58;0.819911;1.77e-14;*;*;*;
417;J1013-5934;0.442901;5.58e-16;*;*;*;
418;J1014-48;1.508800;*;*;*;RRAT;
419;J1015-5719;0.139882;5.74e-14;*;*;*;
420;B1014-53;0.769584;1.93e-15;*;*;*;
421;J1016-5819;0.087834;6.98e-16;*;*;*;
422;J1016-5857;0.107386;8.08e-14;*;SNR:G284.3-1.8(?);*;
423;B1015-56;0.503459;3.13e-15;*;*;*;
424;J1017-7156;0.002339;2.22e-21;DD;*;*;
425;B1016-16;1.804695;1.74e-15;*;*;*;
426;J1019-5749;0.162499;2.01e-14;*;*;*;
