#;NAME;P0;P1;ASSOC;PSR;
;;(s);;;TYPE;
329;J1903-7051;0.003598;1.04e-20;GRS:4FGL_J1903.4-7053[aab+22];HE[ckr+15];
330;J1904+0412;0.071095;1.10e-19;*;*;
331;J1905+0154A;0.003193;*;GC:NGC6749;*;
332;J1906+0055;0.002790;3.32e-21;*;*;
333;J1906+0454;0.002083;2.98e-21;*;*;
334;J1906+0746;0.144073;2.03e-14;*;*;
335;J1906-1754;0.002876;*;*;*;
336;J1908+0128;0.004702;5.27e-20;*;*;
337;J1908+2105;0.002564;1.38e-20;GRS:4FGL_J1908.9+2103[aab+22];HE[drc+21];
338;J1909-3744;0.002947;1.40e-20;*;*;
339;J1910+1256;0.004984;9.68e-21;*;*;
340;J1910-5959A;0.003266;-2.92e-21;GC:NGC6752,XRS:[fhc+14];*;
341;B1908+00A;0.003619;-6.58e-21;GC:NGC6760,OPT:[bvvh03];*;
342;J1911-1114;0.003626;1.39e-20;XRS:[pb15];*;
343;J1912-0952;0.025068;2.86e-20;*;*;
344;J1913+0618;0.005027;9.61e-21;*;*;
345;J1913+1102;0.027285;1.61e-19;*;*;
346;B1913+16;0.059030;8.62e-18;*;*;
347;J1918-0642;0.007646;2.57e-20;*;*;
348;J1921+0137;0.002496;1.94e-20;GRS:4FGL_J1921.4+0136[aab+22];HE;
349;J1921+1929;0.002646;3.82e-20;GRS:4FGL_J1921.1+1930[aab+22];HE;
350;J1928+1245;0.003022;1.68e-20;*;*;
351;J1929+0132;0.006418;8.56e-21;*;*;
352;J1930+2441;0.005767;8.65e-21;*;*;
353;J1930-1852;0.185520;1.80e-17;*;*;
354;J1932+1500;1.864332;4.59e-16;*;*;
355;J1932+1756;0.041831;4.32e-19;*;*;
356;J1933+1726;0.021507;4.90e-20;*;*;
357;J1933-6211;0.003543;3.87e-21;*;*;
358;J1935+1726;0.004200;*;*;*;
359;J1937+1658;0.003958;1.32e-20;*;*;
360;J1938+2012;0.002634;7.50e-22;*;*;
361;J1938+6604;0.022259;1.95e-20;*;*;
362;J1943+2210;0.005084;8.79e-21;*;*;
363;J1946+2052;0.016960;9.20e-19;*;*;
364;J1946+3417;0.003170;3.16e-21;GRS:[sbc+19];HE[sbc+19];
365;J1946-5403;0.002710;*;GRS:4FGL_J1946.5-5402[aab+22];HE[ckr+15];
366;J1949+3106;0.013138;9.39e-20;*;*;
367;J1950+2414;0.004305;1.88e-20;GRS:4FGL_J1950.6+2416[aab+22];HE[kls+15],HE[aab+22];
368;J1952+2630;0.020732;4.27e-18;*;*;
369;J1953+1844;0.004444;2.19e-20;GC:M71(NGC6838)[plj+23];*;
370;J1953+1846A;0.004888;*;GC:M71(NGC6838)[hrs+07];*;
371;J1954+2529;0.931210;1.26e-15;*;*;
372;B1953+29;0.006133;2.97e-20;*;*;
373;J1957+2516;0.003962;2.74e-20;GRS:4FGL_J1957.3+2517[aab+22];HE[lbh+15],HE[aab+22];
